ablation,architecture,seed,num_layers,graph_direction,best_epoch,validation_auprc,test_precision,test_recall,test_f1,test_auprc,test_roc_auc,training_seconds
directed_two_layers,GraphSAGE,42,2,directed,8,0.02560818777901303,0.13858921161825727,0.09293266555370061,0.11125916055962691,0.059197186036346564,0.8962017192817541,0.9769142289992487
edge_attributes_without_message_passing,Edge-only MLP,42,0,none,8,0.005602577063313798,0.028674450549450548,0.18586533110740122,0.04968389735961324,0.014767724271229918,0.7474247550026138,0.059032127000136825
directed_one_layer,GraphSAGE,42,1,directed,8,0.006004760948714971,0.01856082238720731,0.07234279354479689,0.029542097488921712,0.009963473214677,0.8364063609265001,0.5027135569998791
symmetrized_two_layers,GraphSAGE,42,2,symmetrized,8,0.027447789858970548,0.138763197586727,0.10239287701725097,0.11783541466538584,0.05943974869850724,0.8911351874610852,1.521242169999823
directed_three_layers,GraphSAGE,42,3,directed,8,0.003341013414739294,0.04818258664412511,0.06343906510851419,0.05476819601249099,0.017377412000937578,0.8229399100963845,1.4323827730004268
