candidate,n_estimators,max_depth,min_samples_leaf,max_features,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auprc,validation_roc_auc,selected_threshold,training_seconds,validation_inference_seconds,peak_cpu_memory_gb
1,250,12,2,sqrt,0.998787304893402,0.3708838821490468,0.19759926131117267,0.25783132530120484,0.21626098114499068,0.9732528161412428,0.9406183664719818,35.08323912300011,5.85894812399988,2.4853439331054688
2,250,20,2,sqrt,0.9988581766853459,0.4357262103505843,0.2409972299168975,0.3103448275862069,0.2625937664798492,0.9771721335980539,0.8498218966767142,54.51282411300008,6.249393314999907,2.4853515625
3,250,None,2,sqrt,0.9990068105823398,0.5745967741935484,0.2631578947368421,0.3609879670677644,0.337030800889467,0.9781933102904514,0.7446811976679287,67.50456043400004,6.424949758999901,2.4995689392089844
4,250,20,10,0.5,0.99892904847729,0.4951267056530214,0.234533702677747,0.3182957393483709,0.28677661503940854,0.9764296268064683,0.9660934304817619,97.31928457999993,5.432774164999955,2.499584197998047
