candidate,parameters_json,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auprc,validation_roc_auc,selected_threshold,training_seconds,validation_inference_seconds,peak_cpu_memory_gb,peak_gpu_memory_gb
1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.9990363404956497,0.6120689655172413,0.26223453370267774,0.36716224951519066,0.34817997942128837,0.9757538779778625,0.9916161894798279,1.7520287160000407,0.48733119700000316,2.912494659423828,0.283203125
2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",0.999020591208551,0.5774647887323944,0.3028624192059095,0.3973349485160509,0.3707413346001678,0.9759571780688666,0.9908966422080994,1.1861791129999801,0.46038163000002896,2.9353866577148438,0.27734375
3,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 500, ""subsample"": 0.9}",0.9991003219744882,0.6890380313199105,0.28439519852262235,0.40261437908496733,0.368267064764818,0.9760083664678804,0.9918500185012817,1.3996236920002048,0.5019931689998884,2.9336318969726562,0.28515625
